Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
T-shirt gucci,105.69,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6910564066-t-shirt-gucci?referrer=catalog,0,6910564066,On Sale,,https://images1.vinted.net/t/01_006de_tXouU8hS8axp8vFzA3LAu5yj/310x430/1755775677.jpeg?s=c65efd080eac1626e696a88127f69236054e853a,1,1,
Veste saharienne,441.7,Gucci,L / IT 44 / EU 40,https://www.vinted.it/items/6923227546-veste-saharienne?referrer=catalog,1,6923227546,On Sale,,https://images1.vinted.net/t/04_013e9_WpUHRLXdq3PrXrUxQ8KQZXYU/310x430/1755946930.jpeg?s=26b7f8c67f38d006a083bb81c5add9a4cc735b95,1,1,
T-shirt ricamo Gucci vintage,53.2,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6923222483-t-shirt-ricamo-gucci-vintage?referrer=catalog,4,6923222483,On Sale,,https://images1.vinted.net/t/03_00891_cfsSTZksehwKuwghxGvwu8AU/310x430/1755946893.jpeg?s=28a997a15c5fa68cd37dfa2057ef1425ddd8dc5a,1,1,
Sweat à capuche ample Gucci,242.2,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6923040552-sweat-a-capuche-ample-gucci?referrer=catalog,0,6923040552,On Sale,,https://images1.vinted.net/t/02_008cf_wv5NTythZeechU6hMMyTXVAz/310x430/1755945578.jpeg?s=8bbabfabeb18d9af26f65337d85bcdd23b531299,1,1,
T-shirt women’s S,52.15,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6918221592-t-shirt-womens-s?referrer=catalog,0,6918221592,On Sale,,https://images1.vinted.net/t/01_02538_k8ey2cGiekcygpQXyqH27ovK/310x430/1755871085.jpeg?s=0b94b1c9751a76d2054469cd7dc0b3f2226e5e3b,1,1,
t-shirt donna Gucci taglia m,20.65,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6922732408-t-shirt-donna-gucci-taglia-m?referrer=catalog,2,6922732408,On Sale,,https://images1.vinted.net/t/04_00e9e_Muep6byu5wpw6MFrY4HzjSBG/310x430/1755943362.jpeg?s=0dde7e37a2e26bbc176cfa9d2c04e340ad7280ae,1,1,
Débardeur miu miu,63.7,Miu Miu,M / IT 42 / EU 38,https://www.vinted.it/items/6909784925-debardeur-miu-miu?referrer=catalog,6,6909784925,On Sale,,https://images1.vinted.net/t/01_000e8_EgQMnKeQ3QycNkM52td19dNV/310x430/1755769517.jpeg?s=702e1dbdf01d19e3ce6e6c5aa6f2b0e2aa2c94bd,1,1,
Gucci chemise,278.95,Gucci,L / IT 44 / EU 40,https://www.vinted.it/items/6922611435-gucci-chemise?referrer=catalog,3,6922611435,On Sale,,https://images1.vinted.net/t/02_00433_DQRZ9AQyfwN4NTVsU7vXn2qh/310x430/1755942487.jpeg?s=cd72dc05eb1b6af5754c575ec0d342620efcd666,1,1,
Body fendi x skims,199.15,Fendi,M / IT 42 / EU 38,https://www.vinted.it/items/6922559810-body-fendi-x-skims?referrer=catalog,3,6922559810,On Sale,,https://images1.vinted.net/t/03_022b2_SDvuQkeHPYrbde3m8BqmUb2f/310x430/1755942111.jpeg?s=64d2175baf38e024d6066f3e2f64cebaa736db57,1,1,
Chemise à motifs en satin Gucci avec lacets,222.25,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6922388708-chemise-a-motifs-en-satin-gucci-avec-lacets?referrer=catalog,3,6922388708,On Sale,,https://images1.vinted.net/t/01_012f5_CqYwSqgBtvQMD1L1tdquGLmX/310x430/1755940840.jpeg?s=69904596ea6d50868b799adffdc8423e827a2b78,1,1,
Haut manches longues Gucci noir,131.95,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6922378233-haut-manches-longues-gucci-noir?referrer=catalog,1,6922378233,On Sale,,https://images1.vinted.net/t/01_01db6_QokQki6FXsveuHtzt2yp3YuT/310x430/1755940758.jpeg?s=3b740102e4b38ee732f981b65fcbeacc0cb94784,1,1,
