Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
Crop top beige,3.85,Stradivarius,S / IT 40 / EU 36,https://www.vinted.it/items/6880615349-crop-top-beige?referrer=catalog,0,6880615349,On Sale,,https://images1.vinted.net/t/01_00de9_es4hzezUygpUTgFgZPZnjA8E/310x430/1755366634.webp?s=d3b793024cae86689de483cdcfc604f5e88ffb04,1,1,
Set t-shirt e pantaloncini,8.05,Bershka,S / IT 40 / EU 36,https://www.vinted.it/items/6880373644-set-t-shirt-e-pantaloncini?referrer=catalog,0,6880373644,On Sale,,https://images1.vinted.net/t/01_0105e_dbfQ6mdfXBUg1GoexYahVLe6/310x430/1755364126.webp?s=ac49bb309b06b6bd58299ba2c53fe3cf01e81a97,1,1,
Top Zara,2.28,Zara,S / IT 40 / EU 36,https://www.vinted.it/items/6880615150-top-zara?referrer=catalog,0,6880615150,On Sale,,https://images1.vinted.net/t/04_010d8_UatwyK2hgoqfrFYVNayTRpuN/310x430/1755366632.webp?s=220e5d1ad764fc2c4baf16ed43d2c3c60c4f4c60,1,1,
Indies,58.45,Indies,XXXL / IT 50 / EU 46,https://www.vinted.it/items/6880615466-indies-magnifique-chemisier-chic-et-boheme-taille-46?referrer=catalog,0,6880615466,On Sale,,https://images1.vinted.net/t/04_00cd5_LXEteXCVTTiHi4ZziNFshf4T/310x430/1755366635.webp?s=11eca1004d7e78f7ba26f0ea7360b2eb97f02b28,1,1,
T- Shirt,2.8,Sonstiges,XS / IT 38 / EU 34,https://www.vinted.it/items/6880615417-t-shirt?referrer=catalog,0,6880615417,On Sale,,https://images1.vinted.net/t/04_01a4b_32SSyBmvVsacGMdABZRiEG44/310x430/1755366634.webp?s=4f36f898f997f0783921b12668469f9180a431c2,1,1,
Gestreiftes Shirt,2.8,Tom Tailor,M / IT 42 / EU 38,https://www.vinted.it/items/6880615373-gestreiftes-shirt?referrer=catalog,0,6880615373,On Sale,,https://images1.vinted.net/t/01_00682_yNf9ZautePosDfSuX7KFuANv/310x430/1755366634.webp?s=4f3efd51a44336b41ac0b56075bc3b9a99adae4c,1,1,
Blouse Caroll colorée taille M,11.1,Caroll,M / IT 42 / EU 38,https://www.vinted.it/items/6880614942-blouse-caroll-coloree-taille-m?referrer=catalog,0,6880614942,On Sale,,https://images1.vinted.net/t/04_02128_akzQTyiTRPtFuPddPjGokZiC/310x430/1755366629.webp?s=1f7caddd662fc77e11ee656518282af08aa0800a,1,1,
White hook and eye top xs,13.3,No brand,XS / IT 38 / EU 34,https://www.vinted.it/items/6880614787-white-hook-and-eye-top-xs?referrer=catalog,0,6880614787,On Sale,,https://images1.vinted.net/t/02_02126_B9ro49HGoEc6tXXVC6baLoLE/310x430/1755366627.webp?s=c72dcc89ad881ee32ac6cdb8a739d35364ba2ef7,1,1,
Vintage T-Shirt,3.85,Zara,S / IT 40 / EU 36,https://www.vinted.it/items/6880614836-vintage-t-shirt?referrer=catalog,0,6880614836,On Sale,,https://images1.vinted.net/t/02_020f9_D2KLj23pxVwvQppEXG6yJpBH/310x430/1755366628.webp?s=7fc64a0f46874555ebce35d56fa9c3cec6b0bee3,1,1,
Hemd/Bluse,5.95,H&M,L / IT 44 / EU 40,https://www.vinted.it/items/6880614619-hemdbluse?referrer=catalog,0,6880614619,On Sale,,https://images1.vinted.net/t/04_00250_puEdhYt2zA4zgvWmzqe7hetC/310x430/1755366626.webp?s=b5ec7b52834b504441a71285319aaf1976d12974,1,1,
