Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
JBL Charge 5 Wifi Schwarz,158.19,JBL,0.0,https://www.vinted.it/items/6851913495-jbl-charge-5-wifi-schwarz?referrer=catalog,1.0,6851913495.0,On Sale,,,https://images1.vinted.net/t/03_02507_TwWgHax9aAe1zRy7KYdfsvBD/310x430/1754921551.jpeg?s=6d4ec4be286c6ee921a3f25b996b9d3cec22391d,1.0,1.0
Jbl charge 5,105.7,JBL,0.0,https://www.vinted.it/items/6848582932-jbl-charge-5?referrer=catalog,8.0,6848582932.0,On Sale,,,https://images1.vinted.net/t/01_012b9_m3j4ng9erZ4ahiPgWrqYzJGU/310x430/1754856931.jpeg?s=530c9c58041e894eaa2e04650e47b99dae924ea4,1.0,1.0
casque JBL tune 520BT,42.7,JBL,0.0,https://www.vinted.it/items/6847854127-casque-jbl-tune-520bt?referrer=catalog,0.0,6847854127.0,On Sale,,,https://images1.vinted.net/t/01_023c6_NmiGqYUsV85GDJT8odqqbfoZ/310x430/1754849573.jpeg?s=2ea8abfc0a19d0a1531296f20bab64c3019eeecc,1.0,1.0
JBL tune 720bt,74.2,JBL,0.0,https://www.vinted.it/items/6834993505-jbl-tune-720bt?referrer=catalog,0.0,6834993505.0,On Sale,,,https://images1.vinted.net/t/01_0262c_waYEgAAJhpwVjb4azDzDiF7z/310x430/1754663852.jpeg?s=2a6719e0d14ad4531a262de89fbc04f06a090192,1.0,1.0
Écouteurs sans fil JBL tune 115 tws,42.7,JBL,0.0,https://www.vinted.it/items/6831942766-ecouteurs-sans-fil-jbl-tune-115-tws?referrer=catalog,3.0,6831942766.0,On Sale,,,https://images1.vinted.net/t/01_01189_7yveP8Tw9PrasB1ZpdqURVgY/310x430/1754606988.jpeg?s=7a792a2c7a4cb6391a76b53beb5c7f93deb5253d,1.0,1.0
Jbl Charge 5,158.2,JBL,0.0,https://www.vinted.it/items/6831265116-jbl-charge-5?referrer=catalog,4.0,6831265116.0,On Sale,,,https://images1.vinted.net/t/04_018bd_kwaMWLVrVaDDaLjDapnmRdL7/310x430/1754594751.jpeg?s=a34a345ba45da834e4cd21bb9b4f03c9941290bc,1.0,1.0
JBL Charge 5 rouge – En parfait état – Puissant & portable,110.95,JBL,0.0,https://www.vinted.it/items/6830585284-jbl-charge-5-rouge-en-parfait-etat-puissant-portable?referrer=catalog,8.0,6830585284.0,On Sale,,,https://images1.vinted.net/t/04_01e96_hMVqmd8k9sUPnbsRgyDmUsVh/310x430/1754588037.jpeg?s=0da4f9468bfa5f550d73b864977b3e850690a893,1.0,1.0
JBL Charge 5,121.45,JBL,0.0,https://www.vinted.it/items/6814344540-jbl-charge-5?referrer=catalog,10.0,6814344540.0,On Sale,,,https://images1.vinted.net/t/04_01ed6_TDm1nxgYnzccwTJt1p1qrAKP/310x430/1754382116.jpeg?s=fb55b679b54ba50f5ce25bd64794adf09b3f41b3,1.0,1.0
Ecouteur JBL tour 2 neuf,158.2,JBL,0.0,https://www.vinted.it/items/6808993807-ecouteur-jbl-tour-2-neuf?referrer=catalog,1.0,6808993807.0,On Sale,,,https://images1.vinted.net/t/01_020cd_ctuxtb5WPD4C3fhmWdoGkY84/310x430/1754307074.jpeg?s=037a4f606eb17c68076495cd1bd44605e0ae0b9b,1.0,1.0
Jbl charge 5,137.2,JBL,0.0,https://www.vinted.it/items/6803771934-jbl-charge-5?referrer=catalog,1.0,6803771934.0,On Sale,,,https://images1.vinted.net/t/01_01b81_urcuPypezYQ1s1Z9LGefsNjs/310x430/1754232182.jpeg?s=9e7253b12d2d4595e0662ca02ea07eb2696aab7e,1.0,1.0
