Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
JBL Flip 6 haut-parleur bluetooth portable étanche extérieur,73.15,JBL,0.0,https://www.vinted.it/items/6905604648-jbl-flip-6-haut-parleur-bluetooth-portable-etanche-exterieur?referrer=catalog,2.0,6905604648.0,On Sale,,,https://images1.vinted.net/t/02_0151f_u8nQn9K3NVLfvN17Ex1hW7P7/310x430/1755701752.jpeg?s=b2a23b59b0d9031845cc22bb56cda3900c0a9f6f,1.0,1.0
JBL GO 3 Speaker Bluetooth Portatile,42.7,JBL,0.0,https://www.vinted.it/items/6905503267-jbl-go-3-speaker-bluetooth-portatile?referrer=catalog,0.0,6905503267.0,On Sale,,,https://images1.vinted.net/t/02_008fb_Rbsx27DJF91JAaG1VzqRPvam/310x430/1755701083.jpeg?s=f6d58ff417146c2e57f1b80af1f4c68e67389f8e,1.0,1.0
Altavoz inalámbrico - JBL Xtreme 3,116.2,JBL,0.0,https://www.vinted.it/items/6904379450-altavoz-inalambrico-jbl-xtreme-3-100-w-bluetooth-15h-autonomia-ip67-negro?referrer=catalog,7.0,6904379450.0,On Sale,,,https://images1.vinted.net/t/02_0141d_zBQdyoX5R6DcWuq3fU4a3GGG/310x430/1755693568.jpeg?s=a9d152e16968c447abf2574525ea18a788d24eec,1.0,1.0
JBL charge 5,126.7,JBL,0.0,https://www.vinted.it/items/6903521736-jbl-charge-5?referrer=catalog,12.0,6903521736.0,On Sale,,,https://images1.vinted.net/t/04_022ce_qUpPMwSEJAsfLQcLAD66joWz/310x430/1755687202.jpeg?s=cf1f69d32055becce6d03618c5cfe0a53286f8bf,1.0,1.0
JBL Flip 7 - Altavoz Bluetooth Nuevo,116.2,JBL,0.0,https://www.vinted.it/items/6903464084-jbl-flip-7-altavoz-bluetooth-nuevo?referrer=catalog,0.0,6903464084.0,On Sale,,,https://images1.vinted.net/t/03_000c2_CS88QavcSU52m981JTiVB3iy/310x430/1755686758.jpeg?s=298b6a0314cfe4b89b4bab0bd7e533ca56023f45,1.0,1.0
JBL True Wireless Flash X Under Armour,53.2,JBL,0.0,https://www.vinted.it/items/6901461862-jbl-true-wireless-flash-x-under-armour?referrer=catalog,10.0,6901461862.0,On Sale,,,https://images1.vinted.net/t/04_0169d_1dCShswRYAAPSA6CDnyRtTMN/310x430/1755637597.jpeg?s=8103dd138559fc876db5253b9d39521de5878a5f,1.0,1.0
JBL partybox 310 + 2 micros JBL,504.7,JBL,0.0,https://www.vinted.it/items/6901112366-jbl-partybox-310-2-micros-jbl?referrer=catalog,10.0,6901112366.0,On Sale,,,https://images1.vinted.net/t/01_017c9_RUZXB6cpAz5gc69gaaWhq5Bm/310x430/1755633139.jpeg?s=77c17aa4313f6f1e8611aee578eb175305f11e9b,1.0,1.0
Jbl charge 5,179.2,JBL,0.0,https://www.vinted.it/items/6899346094-jbl-charge-5?referrer=catalog,0.0,6899346094.0,On Sale,,,https://images1.vinted.net/t/03_009f4_SFmWuQKZ7Xp9SswaoL7uztoH/310x430/1755618653.jpeg?s=4274fee1305198e2c12b08c269e5618ab6cd21d2,1.0,1.0
Nieuwe JBL bluetooth speaker met dock systeem,58.45,JBL,0.0,https://www.vinted.it/items/6898583479-nieuwe-jbl-bluetooth-speaker-met-dock-systeem?referrer=catalog,9.0,6898583479.0,On Sale,,,https://images1.vinted.net/t/03_01a81_wk5Yk1MMgN4CLdcTRYw3xB8k/310x430/1755613270.jpeg?s=eceb00e030de244632dde09ab92ec411c6497d28,1.0,1.0
Caixa de som JBL Flip 7 Bluetooth à prova d’água – Nunca usado,89.95,JBL,0.0,https://www.vinted.it/items/6898545349-caixa-de-som-jbl-flip-7-bluetooth-a-prova-dagua-nunca-usado?referrer=catalog,5.0,6898545349.0,On Sale,,,https://images1.vinted.net/t/02_00584_34MaipRG7kZH2ffuXhYrN7ar/310x430/1755612993.jpeg?s=c1d2ec0ab7568a02331d5032a1bda4d8ce03c196,1.0,1.0
