Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
Guantes originales de Gucci 100% de cuero !Nuevos!,189.7,Gucci,5,https://www.vinted.it/items/8275199198-guantes-originales-de-gucci-100-de-cuero-nuevos?referrer=catalog,4,8275199198,Sold,27/02/2026 23:37:52,,https://images1.vinted.net/t/01_0181b_hMqdikh2sAm2ftkQFXKKyS5V/310x430/1772219473.webp?s=2d8ef6cc5f4057e2d48ba95b778c9148f7a7b245,1,2
Sandales Gucci - taille 37 - Rose - Neuf,210.7,Gucci,37,https://www.vinted.it/items/8274615755-sandales-gucci-taille-37-rose-neuf?referrer=catalog,4,8274615755,Sold,27/02/2026 23:37:52,,https://images1.vinted.net/t/06_009b5_DHhTnu5kx2rGoA78SqCiiDYe/310x430/1772214541.webp?s=68dec16e7268774e6b92abe07e73e129e0bee83c,1,2
Occhiali da sole nuovi Gucci,53.2,Gucci,0,https://www.vinted.it/items/8247593077-occhiali-da-sole-nuovi-gucci?referrer=catalog,0,8247593077,Sold,27/02/2026 23:37:27,,https://images1.vinted.net/t/05_01c2d_tfy1cigMbSmWV57sjaHdkoDY/310x430/1771878976.webp?s=653ffc60a2bcb43d0c7b3e0cdd622314ecfc73e1,1,1
Tutina GUCCI,32.2,Gucci,1-3 mesi / 56 cm,https://www.vinted.it/items/8276342287-tutina-gucci?referrer=catalog,5,8276342287,Sold,28/02/2026 00:56:32,,https://images1.vinted.net/t/06_00519_e677pL6XRT1w5ZyKPXCYzjma/310x430/1772232709.webp?s=15e683e8731731e75c8be439f7fb2d7152e11d62,2,1
Gucci Mini taglia miniatura,11.1,Gucci,0,https://www.vinted.it/items/8276327198-gucci-mini-taglia-miniatura?referrer=catalog,1,8276327198,Sold,28/02/2026 00:56:32,,https://images1.vinted.net/t/03_02262_6Wh9k4MmqNrEzv3Br3PsGPbw/310x430/1772232366.webp?s=6b173ea42b1476cd6c421e06868d1f1816e0797a,2,1
Gucci Lace-Up Corset Shirt - Tom Ford Era,105.7,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/8275107009-gucci-lace-up-corset-shirt-tom-ford-era?referrer=catalog,0,8275107009,Sold,28/02/2026 04:41:39,,https://images1.vinted.net/t/01_00f03_3953KQjuQm9VStaWnhkqg65v/310x430/1772218666.webp?s=7e9699fdf4cdb0c70cbf7433550bc6489b824cc0,5,1
Jackie Mini Gucci x Balenciaga - Marron Monogramme - Neuf,714.0,Gucci,0,https://www.vinted.it/items/8274773038-jackie-mini-gucci-x-balenciaga-marron-monogramme-neuf?referrer=catalog,2,8274773038,Sold,28/02/2026 08:21:47,,https://images1.vinted.net/t/04_00e02_WJ9G14yEZAUqdMkWMwxcWtrR/310x430/1772215818.webp?s=4beabf54b347604684c2f4467bb20d6b16fb3eb5,8,1
Pantalone tuta Gucci,74.2,Gucci,L / IT 44 / EU 40,https://www.vinted.it/items/8274396517-pantalone-tuta-gucci?referrer=catalog,2,8274396517,Sold,28/02/2026 08:21:47,,https://images1.vinted.net/t/06_00128_qm8ksCxytcZNqSFz3tpmTrfb/310x430/1772212845.webp?s=2d23957392f6f88c4ab5604b22563b341d8f83ee,8,1
Occhielli molto molto belli usati pochissimo,58.45,Gucci,0,https://www.vinted.it/items/8276756684-occhielli-molto-molto-belli-usati-pochissimo?referrer=catalog,0,8276756684,Sold,28/02/2026 08:21:47,,https://images1.vinted.net/t/06_019e7_A1KvFCLd6nYheg6rLnE5wGrB/310x430/1772262340.webp?s=845cc56dd80b0690f6e1df60eeab18669d595fbd,8,1
Occhielli molto molto belli usati pochissimo,58.45,Gucci,0,https://www.vinted.it/items/8276756684-occhielli-molto-molto-belli-usati-pochissimo?referrer=catalog,0,8276756684,Sold,28/02/2026 08:21:47,,https://images1.vinted.net/t/06_019e7_A1KvFCLd6nYheg6rLnE5wGrB/310x430/1772262340.webp?s=845cc56dd80b0690f6e1df60eeab18669d595fbd,8,1
