Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,SearchName
Veste GUCCI monogramme,194.95,Gucci,L,https://www.vinted.it/items/8115986073-veste-gucci-monogramme?referrer=catalog,0,8115986073,On Sale,,,https://images1.vinted.net/t/03_003e2_NqNu7H4EvtugsoRmvCLbrrw8/310x430/1770409857.webp?s=bf3c4ac9cc921ea84c6bb7146906837da0be097c,1,1,
Lunettes de soleil Gucci,315.7,Gucci,0,https://www.vinted.it/items/8148349841-lunettes-de-soleil-gucci?referrer=catalog,1,8148349841,On Sale,,,https://images1.vinted.net/t/06_01383_PxtCttn7gVxTd6pZYqJcMAkd/310x430/1770755852.webp?s=3d50880bc08805a010723e1e674fbaaf1514a1b7,1,1,
Gucci Rhyton,168.7,Gucci,42,https://www.vinted.it/items/8148309937-gucci-rhyton?referrer=catalog,0,8148309937,On Sale,,,https://images1.vinted.net/t/06_00add_fg38K2dNjUorBy9JCpeXwmik/310x430/1770755520.webp?s=add139004b2d23fc3756ccf078ea791a39bc5c4c,1,1,
Pantaloni gucci,610.98,Gucci,M,https://www.vinted.it/items/8148344014-pantaloni-gucci?referrer=catalog,3,8148344014,On Sale,,,https://images1.vinted.net/t/06_001a4_jTt1CHrAQfrxEZGmLdNZrC4x/310x430/1770755805.webp?s=07fc79f2a28f06ef4f5e6ee0a3fbf305b165394f,1,1,
Les 3 miniature neuves,28.0,Gucci,0,https://www.vinted.it/items/8148331042-les-3-miniature-neuves?referrer=catalog,0,8148331042,On Sale,,,https://images1.vinted.net/t/05_023f7_nBPSSRxbyVdXr8QUSFhM1aMT/310x430/1770755698.webp?s=1f12f8ab4e658c06c690dbf0ca1daa2e0b157c94,1,1,
Reloj Gucci con biseles intercambiables – vintage,765.0,Gucci,Taglia unica,https://www.vinted.it/items/8148324842-reloj-gucci-con-biseles-intercambiables-vintage?referrer=catalog,20,8148324842,On Sale,,,https://images1.vinted.net/t/06_01ff1_rTS4iP79FHSMwHyHVbtnHdY7/310x430/1770755645.webp?s=d0dcbb43c01eac782fe4c628d1c8796e798bf319,1,1,
Dior Backstage glow face palette,29.05,Dior,0,https://www.vinted.it/items/8148161146-dior-backstage-glow-face-palette?referrer=catalog,7,8148161146,On Sale,,,https://images1.vinted.net/t/01_008d7_YLAiBro2rNg1A5L9RdHzjsHF/310x430/1770754319.webp?s=0e24530d0b8a0d48db7c5161481b0f7f441575dc,1,1,
Bolso Gucci,999.6,Gucci,0,https://www.vinted.it/items/8143478258-bolso-gucci?referrer=catalog,12,8143478258,On Sale,,,https://images1.vinted.net/t/06_0037f_nGujv75mtFxRRj3J9JBDqzfd/310x430/1770720750.webp?s=415a6b0950efe0642b89741af69e767d22c93e4c,1,7,
Borsa marmont Gucci originale,938.4,Gucci,0,https://www.vinted.it/items/8143471339-borsa-marmont-gucci-originale?referrer=catalog,9,8143471339,On Sale,,,https://images1.vinted.net/t/06_000ba_c18tw7L2hsuG2Y1tqHBAsofw/310x430/1770720698.webp?s=928fa9e8435f7c66a226502a32be2f9f8650e02d,1,7,
Chaussures Gucci labyrinthe,273.69,Gucci,43,https://www.vinted.it/items/8148623738-chaussures-gucci-labyrinthe?referrer=catalog,0,8148623738,On Sale,,,https://images1.vinted.net/t/05_0014b_xLpkzLoG57jHTu4outhWrxid/310x430/1770758358.webp?s=8c4e9930164813e898076fc4d8d5a251c2c3052f,1,1,
Saccoche Gucci,126.7,Gucci,0,https://www.vinted.it/items/8148622635-saccoche-gucci?referrer=catalog,0,8148622635,On Sale,,,https://images1.vinted.net/t/01_019ae_7cvtQgae29NymJuisbBp5h5g/310x430/1770758347.webp?s=1cf700fbad87ca0bbd4804e321d182870b7cd723,1,1,
Cintura Gucci classica Originale,189.7,Gucci,90 cm,https://www.vinted.it/items/8148611902-cintura-gucci-classica-originale?referrer=catalog,0,8148611902,On Sale,,,https://images1.vinted.net/t/06_0151e_d9FjMToXM3XkiBP1f9eTfdHk/310x430/1770758239.webp?s=4f377f309a5df66b4dc9ecaf16b6a107819599f9,1,1,
Gucci black leather loafers,420.7,Gucci,45,https://www.vinted.it/items/8148608646-gucci-black-leather-loafers?referrer=catalog,0,8148608646,On Sale,,,https://images1.vinted.net/t/05_003fc_TcuYKUPBGfpg3XMnmf19fJQK/310x430/1770758207.webp?s=60a52af56c0c238b670e7498d203280b3ece10ba,1,1,
Top Gucci,263.2,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/8138180958-top-gucci?referrer=catalog,0,8138180958,On Sale,,,https://images1.vinted.net/t/01_009f3_MdygMXMBn9vM2xwbFTrEkrSW/310x430/1770647873.webp?s=f50a9b832a57eef1cfe469d014a5720b1ae91e5e,1,1,
Profumo,37.45,Gucci,0,https://www.vinted.it/items/8148605228-profumo?referrer=catalog,0,8148605228,On Sale,,,https://images1.vinted.net/t/05_01bff_mEcc3oRavXtaCXhbD8JNWEc2/310x430/1770758171.webp?s=2db69773d955529d35309cbcada3a7a13dd9a643,1,1,
Casquette Gucci en laine Jumbo bleu/gris M,473.2,Gucci,M,https://www.vinted.it/items/8148601084-casquette-gucci-en-laine-jumbo-bleugris-m?referrer=catalog,0,8148601084,On Sale,,,https://images1.vinted.net/t/06_01e9e_ha1f6BeTB7GvwocW6gMDYF7J/310x430/1770758130.webp?s=075ca6ca6631baa9a3fa804ecb79c9f7b1b70484,1,1,
Profumo,37.45,Gucci,0,https://www.vinted.it/items/8148599296-profumo?referrer=catalog,0,8148599296,On Sale,,,https://images1.vinted.net/t/05_017be_N1Sy8eZZHA5nnybmovCk2SGY/310x430/1770758112.webp?s=a06853bbf447a378ece40dbb7605738745ced5ce,1,1,
Occhiali donna Gucci,210.7,Gucci,0,https://www.vinted.it/items/8148598757-occhiali-donna-gucci?referrer=catalog,0,8148598757,On Sale,,,https://images1.vinted.net/t/06_02449_9NoYqDTQDY3x9XvnQV1nuaVY/310x430/1770758107.webp?s=21c3cf481547d2ef6f705d379c3f035c5d557f15,1,1,
Gucci Bloom Eau de Parfum,47.94,Gucci,0,https://www.vinted.it/items/8148598156-gucci-bloom-eau-de-parfum?referrer=catalog,0,8148598156,On Sale,,,https://images1.vinted.net/t/05_01bf3_2WPW6zQRUTiyHc25oxXczUA2/310x430/1770758101.webp?s=62dd7a8a54512cf0823cb9fd832db65cd34b05a6,1,1,
Gucci Sneakers Miro Soft Black n. 10.5,524.65,Gucci,44,https://www.vinted.it/items/8148597070-gucci-sneakers-miro-soft-black-n-105?referrer=catalog,0,8148597070,On Sale,,,https://images1.vinted.net/t/05_008f6_SAL6Lry4nR3hkVMm16EkupME/310x430/1770758090.webp?s=f1b4734c8a242c692537f0d04c1ccbf0c3c57d06,1,1,
Profumo,37.45,Gucci,0,https://www.vinted.it/items/8148592578-profumo?referrer=catalog,0,8148592578,On Sale,,,https://images1.vinted.net/t/05_00858_BRaEviPynzeBu7X5S61AV61C/310x430/1770758046.webp?s=708c054e41cb2bb3fda577a743b1494305f29b11,1,1,
Profumo,37.45,Gucci,0,https://www.vinted.it/items/8148586455-profumo?referrer=catalog,0,8148586455,On Sale,,,https://images1.vinted.net/t/06_014b6_nZ6FJskvhhobLMeCoBadEWKb/310x430/1770757986.webp?s=c443eb6c8586315a22faa0395df7dcd980dbde7e,1,1,
Porta tessere Gucci,189.7,Gucci,0,https://www.vinted.it/items/8096445271-porta-tessere-gucci?referrer=catalog,0,8096445271,On Sale,,,https://images1.vinted.net/t/06_0263d_siuPeVPSARJfZcgzu4kii7v3/310x430/1770197446.webp?s=b2cabf1b182cd5b92481b332d46e82c1038828f0,1,1,
