Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Azzaro the most wanted,63.7,Azzaro,0,https://www.vinted.it/items/6589380726-azzaro-the-most-wanted?referrer=catalog,2,6589380726,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0001b_rmyPeeSrnfVZZMmCoPyNpdAs/310x430/1751106591.jpeg?s=f2b2c5ff5fac704c350ba99f3feeb80a953a7cb4,1,1
The Most Wanted Parfum Azzaro muestra 5ml,8.05,Azzaro,0,https://www.vinted.it/items/6586325913-the-most-wanted-parfum-azzaro-muestra-5ml?referrer=catalog,4,6586325913,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0221e_X2jxr5AerU9y7L6Fm6DsKnDE/310x430/1751039661.jpeg?s=0119bdb3cdf432c217a9fb1c7819c5e676762bd4,1,1
Azzaro The Most Wanted Parfum,74.2,Azzaro,0,https://www.vinted.it/items/6586140856-azzaro-the-most-wanted-parfum?referrer=catalog,1,6586140856,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_006b0_uxpspFewLFjTRRrELyq9Jdqk/310x430/1751037753.jpeg?s=dee927672f4d0528cfd941d6690faeefc902c279,1,1
The most wanted parfum 100ml,55.3,Azzaro,0,https://www.vinted.it/items/6585110847-the-most-wanted-parfum-100ml?referrer=catalog,2,6585110847,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_0155f_31QuPsK6LVwY3CzJyvYhk2en/310x430/1751027178.jpeg?s=104408828cef45400d17a4795b434ec48627d86e,1,1
Wanted the most Homme - 50ml,53.2,Azzaro,0,https://www.vinted.it/items/6581998867-wanted-the-most-homme-50ml?referrer=catalog,3,6581998867,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_0053f_EJgbmNHo4HDXWhHLnoZKX5k1/310x430/1750960814.jpeg?s=bac0748ee86ac119a4e6874c8dcb405e68063d29,1,1
Azzaro The Most Wanted Parfum Intense 50ml,44.14,Azzaro,0,https://www.vinted.it/items/6577809155-azzaro-the-most-wanted-parfum-intense-50ml?referrer=catalog,2,6577809155,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_01275_3DA3J3BJdhr7Ft88bhgUGVEA/310x430/1750889702.jpeg?s=c2abaf6d2318c334a4b5f21e7936897bbd083a37,1,1
Azzoro the most wanted parfum 50ml,26.95,Azzaro,0,https://www.vinted.it/items/6576034087-azzoro-the-most-wanted-parfum-50ml?referrer=catalog,9,6576034087,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_01140_ELAjZW1eV8j8g4jNBTsEGTEv/310x430/1750868875.jpeg?s=26b951098da6b5ad0a545178437163dd54719e56,1,1
"""Seductor Nocturno"" pack 10ml",24.85,Azzaro,0,https://www.vinted.it/items/6572294015-seductor-nocturno-pack-10ml?referrer=catalog,3,6572294015,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_0068f_yqq27NEkqEVqLdHzyRWzJyjA/310x430/1750808561.jpeg?s=2049706ade87b19c1b8ef74de6045f5d3f812710,1,1
"""Dulce y potente"" pack 10ml",24.85,Azzaro,0,https://www.vinted.it/items/6572286670-dulce-y-potente-pack-10ml?referrer=catalog,0,6572286670,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_00dd0_PimTAN4AYqssN1ADkczn4e8Y/310x430/1750807831.jpeg?s=b5aba05e83896d1705e80e7a6c36524fa48c6e3c,1,1
Azarro the most wanted,11.2,Endurance,0,https://www.vinted.it/items/6571948711-azarro-the-most-wanted?referrer=catalog,0,6571948711,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_00f4b_zbagjonCvTJwBeP8XNFixN4M/310x430/1750798046.jpeg?s=75fb1ea73d07e0129773784d4015d979bf40f6f2,1,1
Parfum azzaro the most wanted,58.45,Wanted,0,https://www.vinted.it/items/6569632807-parfum-azzaro-the-most-wanted?referrer=catalog,2,6569632807,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_00cfe_2wbZ7WrFFFwddnVy6az71Qts/310x430/1750776963.jpeg?s=5cd0575e3cfaa6e9630975166e11b232e3c581af,1,1
Flacon vide – Azzaro The Most Wanted – 50 ml vide,8.05,Azzaro,0,https://www.vinted.it/items/6568863718-flacon-vide-azzaro-the-most-wanted-50-ml-vide?referrer=catalog,4,6568863718,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_00fe3_nfTrQsddLSGfoCsG81tBjTvh/310x430/1750770409.jpeg?s=2558ad9eed70d4ac03b7b1cbcf315d7268f7909c,1,1
Parfum Azzaro intense The Most Wanted 50ml,47.95,Azzaro,0,https://www.vinted.it/items/6565940534-parfum-azzaro-intense-the-most-wanted-50ml?referrer=catalog,3,6565940534,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0218b_86SRQNtoGwh1fCtGwpwtaYyt/310x430/1750710193.jpeg?s=2edb9f0511d2f06cafdf4030090ffe4c9e0af02b,1,1
Azzaro the most wanted eau de parfum intense 100 ml,68.95,Azzaro,0,https://www.vinted.it/items/6564269688-azzaro-the-most-wanted-eau-de-parfum-intense-100-ml?referrer=catalog,2,6564269688,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_005d4_wqW9cbUedF1aBbjo5rhx3qv8/310x430/1750695570.jpeg?s=7f2a8437c23c462a6711d289c4302be435f65e34,1,1
The most wanted azzaro 100 ml,53.2,Azzaro,0,https://www.vinted.it/items/6562486793-the-most-wanted-azzaro-100-ml?referrer=catalog,13,6562486793,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_001dc_GSXd8V6LWR46HVCaRh1nGdYZ/310x430/1750680751.jpeg?s=d47f353711de3f7a6e314a958b973595cead1202,1,1
Azzaro the most wanted,50.04,Azzaro,0,https://www.vinted.it/items/6561968071-azzaro-the-most-wanted?referrer=catalog,2,6561968071,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_00215_qCj8rs7d3Mncig9vqkUkkiUP/310x430/1750675996.jpeg?s=3555694ddbc092f2ea64a8e15473f21c0a807734,1,1
Cofre azzaro the most wanted,47.95,Azzaro,0,https://www.vinted.it/items/6559568066-cofre-azzaro-the-most-wanted?referrer=catalog,16,6559568066,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_0024d_tf63NfGZ39J4jY1YjgKuH4qd/310x430/1750618966.jpeg?s=4eb16954b71fb24902c903392f95d1941570cbeb,1,1
Azzaro the most wanted,63.7,Azzaro,0,https://www.vinted.it/items/6557185447-azzaro-the-most-wanted?referrer=catalog,1,6557185447,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_02663_4yPbkFTDKgg7wbU2NDrMurd2/310x430/1750601567.jpeg?s=312c184a6e23c68a54ed399d5227c75e8a674674,1,1
Parfum Azzaro the most wanted 50 ml,32.2,Azzaro,0,https://www.vinted.it/items/6552316030-parfum-azzaro-the-most-wanted-50-ml?referrer=catalog,5,6552316030,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_01299_P8qPR2CtgThiBCGgnDc8gDEd/310x430/1750520614.jpeg?s=5094003cce619c7afc39994c0032389603f944e2,1,1
Parfum Azzaro the most Wanted 100ml,79.45,Azzaro,0,https://www.vinted.it/items/6550628315-parfum-azzaro-the-most-wanted-100ml?referrer=catalog,1,6550628315,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_007a4_dW1NwiptwbutZA1Pg6D7eLS3/310x430/1750504062.jpeg?s=0f9a4cf07f59c58c2deb9a0a848d75b9fa9692f2,1,1
Parfum azzaro the most wanted,62.65,Azzaro,0,https://www.vinted.it/items/6547505443-parfum-azzaro-the-most-wanted?referrer=catalog,1,6547505443,Sold,02/07/2025 07:10:57,https://images1.vinted.net/t/01_02219_3HfS384eF5tygb1PcNHG27Y9/310x430/1750435696.jpeg?s=29505621705a47a4cc4e01d5f2f21bd5a9117d0f,1,1
Azzaro The most Wanted Parfum Herrenparfüm,41.65,Azzaro,0,https://www.vinted.it/items/6543066897-azzaro-the-most-wanted-parfum-herrenparfum?referrer=catalog,13,6543066897,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_00105_HqhCbzBcaR6oqivhTfo6DDo7/310x430/1750354766.jpeg?s=803e1ce4d0f0677150b98a936985cb7bb1160e8d,1,1
Perfume azzaro the most wanted,21.7,Azzaro,0,https://www.vinted.it/items/6536945751-perfume-azzaro-the-most-wanted?referrer=catalog,2,6536945751,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_02019_nxUq57edNW2jUE6H8ZmirMGa/310x430/1750261425.jpeg?s=a752d1a46e1c7d451365e615f17a31e82e32cb68,1,1
Cofre de perfume Azzaro The Most Wanted anted,49.0,Azzaro,0,https://www.vinted.it/items/6536748577-cofre-de-perfume-azzaro-the-most-wanted-anted?referrer=catalog,24,6536748577,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_011e3_jSjA7FV3cSa5QD7dTx7rfS6W/310x430/1750259528.jpeg?s=ba27214c98280358a2888dc2d2afb4dd357d6387,1,1
Azzaro the most wanted eau de toilette,58.45,Azzaro,0,https://www.vinted.it/items/6535020294-azzaro-the-most-wanted-eau-de-toilette-50-ml?referrer=catalog,1,6535020294,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_01eff_kQusXetksaQNUzbt75UbafJu/310x430/1750242616.jpeg?s=571f16f946071c08009fb94c3dbf749738cf3a8e,1,1
Perfume hombre,11.2,Azzaro,0,https://www.vinted.it/items/6533974865-perfume-hombre?referrer=catalog,5,6533974865,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_002e9_EXT1XQY7XqXACamv4agnJo7i/310x430/1750229954.jpeg?s=de45469c2b706bbc5020e9b0ca4ffe777fe7a619,1,1
Ensemble Trousse Azzaro + Spray 10ml The most Wanted,26.95,Azzaro,0,https://www.vinted.it/items/6530730332-ensemble-trousse-azzaro-spray-10ml-the-most-wanted?referrer=catalog,2,6530730332,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_00fd5_FgZP6KXmkjx8cgbQdSYEYMD2/310x430/1750168781.jpeg?s=a9709f2e325f97b33dd0fbae04a671af4103f3f6,1,1
Azzaro The Most Wanted EDP Intense 100 ml,79.45,Azzaro,0,https://www.vinted.it/items/6528870253-azzaro-the-most-wanted-edp-intense-100-ml?referrer=catalog,2,6528870253,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_020be_DA5oXkT7CgLsicVC2dpWpFng/310x430/1750150634.jpeg?s=47d5558b1d04ea2825e59051489de67c16d2db64,1,1
Perfume Azzaro The Most Wanted,53.2,Azzaro,0,https://www.vinted.it/items/6528823707-perfume-azzaro-the-most-wanted?referrer=catalog,1,6528823707,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_01589_CWxG9P97dVBx9t15pZmQafeW/310x430/1750150124.jpeg?s=e283272ff3fd205b81150e7d4c469ce4ee5054d4,1,1
Azzaro the most wanted,76.3,Azzaro,0,https://www.vinted.it/items/6526003577-azzaro-the-most-wanted?referrer=catalog,0,6526003577,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_000ff_denN5seRLwfzJ6D4BynsPpMy/310x430/1750091775.jpeg?s=865953cea61f38988218176045d805d701891961,1,1
Perfume Azzaro The Most Wanted,42.69,Azzaro,0,https://www.vinted.it/items/6525855780-perfume-azzaro-the-most-wanted?referrer=catalog,2,6525855780,Sold,03/07/2025 08:57:22,https://images1.vinted.net/t/02_011e1_xjCtQT1Mprj5qJe7oSjAVC2M/310x430/1750090562.jpeg?s=1915d03e2fcb09f31a4487bfa2548c2c3a8b2a9f,1,1
Parfum homme Azzaro The Most Wanted,74.2,Azzaro,0,https://www.vinted.it/items/6514947839-parfum-homme-azzaro-the-most-wanted?referrer=catalog,2,6514947839,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_01002_jYcEpCAxWNq6PFpdjq4nKKXR/310x430/1749932157.jpeg?s=ae073398a758f93cf66918d33ae66fc2b767467a,1,1
Azzaro The Most Wanted Parfum,11.2,Azzaro,0,https://www.vinted.it/items/6513062539-azzaro-the-most-wanted-parfum?referrer=catalog,4,6513062539,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_00083_ysbapAr81tCX3BachhttiyTc/310x430/1749911959.jpeg?s=681d89ff2261efde484693b52284ce18c6dd9b9b,1,1
