ProductId,n,VariantsFound,VariantSilhouette
2800,5,2,0.9999997019767761
2806,4,1,
2808,5,1,
2810,4,2,0.75
2812,4,1,
2813,9,3,0.9999997019767761
2814,12,1,
2820,73,8,0.6370847225189209
2822,13,2,0.7223796844482422
2825,9,1,
2826,11,3,0.899260938167572
2830,21,2,0.747758686542511
2837,4,1,
2838,4,1,
2841,5,1,
2842,7,2,0.9999993443489075
2846,9,1,
2847,7,2,1.0
2851,7,1,
2853,81,12,0.608856737613678
2856,7,3,0.8571428656578064
2858,4,2,0.9999997615814209
2864,4,1,
2865,4,1,
2868,5,1,
2869,8,1,
2873,11,1,
2876,16,6,0.8749995231628418
2878,8,3,1.0
2887,5,2,0.7301015853881836
2893,7,2,0.9999999403953552
2896,4,1,
2897,5,1,
2900,5,1,
2902,5,1,
2908,4,1,
2909,8,5,0.6249996423721313
2911,4,1,
2912,5,2,0.9270992279052734
2913,7,2,0.9223476648330688
2914,5,1,
2915,5,2,0.7999998331069946
2916,4,1,
2918,4,1,
2919,5,1,
2922,5,1,
2924,9,3,0.8888886570930481
2925,14,1,
2927,15,2,0.6813883185386658
2930,4,1,
2939,5,2,0.800000011920929
2941,4,1,
2949,81,8,0.6718853116035461
2950,25,2,0.7965648770332336
2952,4,1,
2955,6,2,0.8333330154418945
2956,22,5,0.8403888940811157
2960,22,5,0.7686224579811096
2965,16,3,0.8259949088096619
2974,69,11,0.6915332674980164
2975,56,5,0.6880555748939514
2976,62,9,0.5520159602165222
2977,5,1,
2978,10,5,0.6944562792778015
2980,7,2,0.9999995231628418
2981,4,1,
2984,10,3,0.7495149374008179
2987,6,1,
2991,11,1,
2992,6,2,0.9999997615814209
2994,17,5,0.9221007823944092
2995,5,1,
2997,9,3,0.8888884782791138
3001,4,1,
3004,5,1,
3005,14,3,0.8922737240791321
3008,7,3,0.8553751707077026
3009,20,7,0.6134474873542786
3010,4,2,0.75
3016,5,1,
3017,4,1,
3019,5,1,
3022,5,1,
3024,5,1,
3025,5,1,
3027,25,6,0.8362424373626709
3028,20,6,0.6887555718421936
3031,4,1,
3034,38,4,0.7048954963684082
3039,10,2,0.9289941787719727
3041,7,3,0.7262601256370544
3046,5,2,0.800000011920929
3050,5,2,0.9996803402900696
3051,7,2,0.8380166292190552
3053,4,1,
3054,5,1,
3058,4,1,
3059,4,1,
3060,4,2,0.75
3061,4,1,
3068,4,1,
3069,5,1,
3075,5,1,
3077,5,1,
3078,7,2,0.7002311944961548
3080,17,1,
3082,9,2,0.9309790134429932
3084,6,1,
3088,55,2,0.6035822033882141
3089,4,1,
3090,6,2,0.8643853664398193
3091,7,1,
3094,7,2,0.8919070959091187
3095,14,2,0.886626124382019
3098,5,1,
3102,34,6,0.8569791913032532
3103,4,1,
3105,48,6,0.7250263690948486
3106,5,3,0.599999725818634
3107,9,3,0.7841499447822571
3110,5,1,
3114,8,2,0.9999998211860657
3115,19,2,0.7449991703033447
3116,4,1,
3117,4,1,
3119,18,3,0.7958908677101135
3124,7,2,0.8720799088478088
3128,4,1,
3132,4,1,
3134,4,1,
3137,6,3,0.6666663885116577
3138,19,3,0.543747067451477
3139,4,1,
3157,6,2,0.8333333134651184
3158,4,2,1.0
3175,6,2,0.8333333134651184
3176,9,2,1.0
3178,5,1,
3179,6,1,
3182,10,1,
3183,13,1,
3194,4,2,0.75
3199,5,1,
3204,11,1,
3205,10,2,0.9536949396133423
3206,4,1,
3209,5,1,
3210,5,1,
3213,5,1,
3214,7,3,0.7739042043685913
3222,106,9,0.7130932211875916
3224,4,1,
3225,9,1,
3226,4,2,0.75
3237,5,1,
3243,7,3,0.6685748100280762
3245,5,2,0.7999999523162842
3246,8,2,0.9999997019767761
3248,5,1,
3253,4,1,
3261,4,1,
3263,6,1,
3266,9,3,0.8888887166976929
3271,6,2,0.963495671749115
3273,9,2,0.9576506018638611
3279,5,1,
3289,5,1,
3290,7,1,
3295,5,1,
3308,4,1,
3310,5,1,
3312,4,1,
3313,5,1,
3316,4,1,
3319,4,1,
3322,4,1,
3336,6,3,0.8295937180519104
3342,4,2,0.9852374792098999
3346,6,2,0.8333333134651184
3360,4,1,
3361,45,1,
3364,7,6,0.1662972867488861
3373,11,9,0.27272704243659973
3384,5,1,
3400,5,1,
3407,6,3,0.8333331942558289
3409,9,5,0.5512449145317078
3411,8,3,0.870699405670166
3414,5,1,
3416,6,1,
3419,6,1,
3425,8,1,
3428,5,1,
3430,4,1,
3431,4,2,0.6622692942619324
3432,6,2,1.0
3433,4,1,
3438,5,1,
3439,14,3,0.917207658290863
3446,5,1,
3450,8,3,0.8749998211860657
3453,5,1,
3457,4,2,0.73036128282547
3458,17,7,0.5806527137756348
3463,4,2,0.9999987483024597
3473,5,1,
3476,5,1,
3477,10,1,
3482,4,1,
3484,4,1,
3488,6,2,0.8333333134651184
3492,4,1,
3494,4,1,
3495,4,1,
3504,4,1,
3508,5,1,
3512,4,1,
3517,7,1,
3520,4,1,
3526,6,1,
3527,4,1,
3528,5,1,
3531,5,1,
3532,4,1,
3537,13,5,0.706598162651062
3539,9,2,0.9999998807907104
3545,5,1,
3547,8,2,0.8084173202514648
3549,32,6,0.7033563852310181
3550,4,1,
3553,5,1,
3561,4,1,
3562,5,1,
3564,4,2,0.5017920732498169
3567,5,1,
3572,5,1,
3575,31,4,0.6544572114944458
3578,268,2,0.6610183119773865
3580,6,2,0.7107024788856506
3583,12,5,0.41583728790283203
3590,7,4,0.5077505707740784
3592,24,10,0.37019315361976624
3594,4,2,0.9116857051849365
3598,4,1,
3613,4,1,
3620,52,9,0.5557104349136353
3621,7,5,0.2396269291639328
3626,88,24,0.5039747953414917
3643,9,1,
3644,5,1,
3646,5,1,
3664,4,1,
3666,6,1,
3668,4,1,
3669,7,1,
3686,4,1,
3692,4,1,
3693,5,1,
3696,7,1,
3698,6,2,1.0
3701,16,4,0.8559457063674927
3707,31,9,0.7455662488937378
3712,6,2,0.9999992847442627
3713,5,1,
3717,4,1,
