ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,Autotuned,VariantThreshold,CoreFrac,PriceWeight
121,142,1,2,chronicles,105.7,105.7,105.7,True,0.35,0.78,0.35
393,440,0,2,,105.7,105.7,105.7,False,,,
411,461,0,2,,105.7,105.7,105.7,False,,,
590,648,0,2,,105.7,105.7,105.7,False,,,
519,573,0,2,,108.325,100.45,116.2,True,0.32,0.7,0.44999999999999996
214,242,0,2,,110.94999999999999,63.7,158.2,False,,,
617,675,0,2,,116.19,116.19,116.19,False,,,
362,409,0,2,,126.7,126.7,126.7,False,,,
462,512,0,2,,126.7,126.7,126.7,False,,,
536,594,0,2,,126.7,126.7,126.7,False,,,
529,587,0,2,,131.95,105.7,158.2,False,,,
643,703,0,2,,131.95,116.2,147.7,False,,,
66,80,0,2,,137.2,100.45,173.95,False,,,
477,527,0,2,,137.2,105.7,168.7,False,,,
675,743,0,2,,137.2,137.2,137.2,False,,,
480,530,0,2,,152.95,147.7,158.2,False,,,
624,682,0,2,,158.1,158.1,158.1,False,,,
484,534,0,2,avec une manette des jeux,158.2,158.2,158.2,True,0.36,0.78,0.25
484,535,1,2,car ne en sers plus reinitialiser lors de,158.2,158.2,158.2,True,0.36,0.78,0.25
498,549,0,2,,158.2,158.2,158.2,False,,,
646,706,0,2,,158.2,158.2,158.2,False,,,
49,54,1,2,ps4 steering wheel volante,163.45,158.2,168.7,True,0.31,0.78,0.45
659,721,0,2,,163.45,158.2,168.7,False,,,
386,433,0,2,,171.325,131.95,210.7,False,,,
49,53,0,2,playstation volant volante pedales pc,180.25,170.8,189.7,True,0.31,0.78,0.45
145,167,0,2,,197.04999999999998,52.15,341.95,False,,,
499,551,1,2,,200.2,189.7,210.7,True,0.29,0.6,0.65
351,396,0,2,origins collection capcom edition,210.65,210.65,210.65,True,0.3,0.78,0.55
49,58,5,2,volant de vitesse levier boite,226.45,179.2,273.7,True,0.31,0.78,0.45
656,716,0,2,,252.7,189.7,315.7,True,0.32,0.65,0.44999999999999996
50,59,0,2,pedali ps4 ps5 trueforce racing wheel volante pc,257.95,231.7,284.2,True,0.33,0.78,0.35
494,545,0,2,,299.95,299.95,299.95,False,,,
633,691,0,2,,315.17499999999995,158.2,472.15,False,,,
677,745,0,2,,526.85,441.7,612.0,False,,,
0,0,0,1,,42.7,42.7,42.7,False,,,
1,1,0,1,,42.7,42.7,42.7,False,,,
6,6,0,1,,42.7,42.7,42.7,False,,,
36,38,0,1,,42.7,42.7,42.7,False,,,
42,44,0,1,,42.7,42.7,42.7,False,,,
63,77,0,1,,42.7,42.7,42.7,False,,,
75,89,0,1,,42.7,42.7,42.7,False,,,
103,123,0,1,,42.7,42.7,42.7,False,,,
119,139,0,1,,42.7,42.7,42.7,False,,,
129,151,0,1,,42.7,42.7,42.7,False,,,
133,155,0,1,,42.7,42.7,42.7,False,,,
146,168,0,1,,42.7,42.7,42.7,False,,,
154,176,0,1,,42.7,42.7,42.7,False,,,
162,186,0,1,,42.7,42.7,42.7,False,,,
173,197,0,1,,42.7,42.7,42.7,False,,,
191,215,0,1,,42.7,42.7,42.7,False,,,
193,220,3,1,ix ps1 version americana ntsc precintado,42.7,42.7,42.7,True,0.36,0.78,0.25
202,230,1,1,,42.7,42.7,42.7,True,0.29,0.6,0.65
206,234,0,1,,42.7,42.7,42.7,False,,,
209,237,0,1,,42.7,42.7,42.7,False,,,
212,240,0,1,,42.7,42.7,42.7,False,,,
235,268,0,1,,42.7,42.7,42.7,False,,,
236,269,0,1,,42.7,42.7,42.7,False,,,
239,272,0,1,,42.7,42.7,42.7,False,,,
240,273,0,1,,42.7,42.7,42.7,False,,,
244,277,0,1,,42.7,42.7,42.7,False,,,
248,281,0,1,,42.7,42.7,42.7,False,,,
254,287,0,1,,42.7,42.7,42.7,False,,,
263,298,2,1,ps4,42.7,42.7,42.7,True,0.35,0.65,0.35
264,299,0,1,,42.7,42.7,42.7,False,,,
265,300,0,1,,42.7,42.7,42.7,False,,,
266,301,0,1,,42.7,42.7,42.7,False,,,
274,314,0,1,,42.7,42.7,42.7,False,,,
280,320,0,1,,42.7,42.7,42.7,False,,,
307,349,0,1,,42.7,42.7,42.7,False,,,
315,357,0,1,,42.7,42.7,42.7,False,,,
318,360,0,1,,42.7,42.7,42.7,False,,,
320,362,0,1,,42.7,42.7,42.7,False,,,
321,363,0,1,,42.7,42.7,42.7,False,,,
328,370,0,1,,42.7,42.7,42.7,False,,,
335,377,0,1,,42.7,42.7,42.7,False,,,
338,380,0,1,,42.7,42.7,42.7,False,,,
340,382,0,1,,42.7,42.7,42.7,False,,,
349,391,0,1,,42.7,42.7,42.7,True,0.33,0.7,0.35
349,394,3,1,nuovo italiano,42.7,42.7,42.7,True,0.33,0.7,0.35
351,397,1,1,gold edition nuevo precintado,42.7,42.7,42.7,True,0.3,0.78,0.55
353,400,0,1,,42.7,42.7,42.7,False,,,
354,401,0,1,,42.7,42.7,42.7,False,,,
358,405,0,1,,42.7,42.7,42.7,False,,,
370,417,0,1,,42.7,42.7,42.7,False,,,
372,419,0,1,,42.7,42.7,42.7,False,,,
383,430,0,1,,42.7,42.7,42.7,False,,,
385,432,0,1,,42.7,42.7,42.7,False,,,
390,437,0,1,,42.7,42.7,42.7,False,,,
396,443,0,1,,42.7,42.7,42.7,False,,,
406,456,0,1,,42.7,42.7,42.7,False,,,
420,470,0,1,,42.7,42.7,42.7,False,,,
426,476,0,1,,42.7,42.7,42.7,False,,,
427,477,0,1,,42.7,42.7,42.7,False,,,
436,486,0,1,,42.7,42.7,42.7,False,,,
441,491,0,1,,42.7,42.7,42.7,False,,,
442,492,0,1,,42.7,42.7,42.7,False,,,
454,504,0,1,,42.7,42.7,42.7,False,,,
457,507,0,1,,42.7,42.7,42.7,False,,,
481,531,0,1,,42.7,42.7,42.7,False,,,
489,540,0,1,,42.7,42.7,42.7,False,,,
490,541,0,1,,42.7,42.7,42.7,False,,,
522,580,0,1,,42.7,42.7,42.7,False,,,
525,583,0,1,,42.7,42.7,42.7,False,,,
532,590,0,1,,42.7,42.7,42.7,False,,,
553,611,0,1,,42.7,42.7,42.7,False,,,
565,623,0,1,,42.7,42.7,42.7,False,,,
577,635,0,1,,42.7,42.7,42.7,False,,,
580,638,0,1,,42.7,42.7,42.7,False,,,
614,672,0,1,,42.7,42.7,42.7,False,,,
667,732,0,1,,42.7,42.7,42.7,False,,,
135,157,0,1,,44.8,44.8,44.8,False,,,
344,386,0,1,,44.8,44.8,44.8,False,,,
560,618,0,1,,44.8,44.8,44.8,False,,,
621,679,0,1,,44.8,44.8,44.8,False,,,
262,295,0,1,,45.85,45.85,45.85,False,,,
699,770,0,1,,45.85,45.85,45.85,False,,,
397,444,0,1,,46.9,46.9,46.9,False,,,
160,184,2,1,ita sigillato,47.85,47.85,47.85,True,0.36,0.7,0.25
82,96,0,1,,47.94,47.94,47.94,False,,,
144,166,0,1,,47.94,47.94,47.94,False,,,
267,303,1,1,neuf et ps5,47.94,47.94,47.94,True,0.35,0.7,0.35
361,408,0,1,,47.94,47.94,47.94,False,,,
4,4,0,1,,47.95,47.95,47.95,False,,,
13,13,0,1,,47.95,47.95,47.95,False,,,
22,22,0,1,,47.95,47.95,47.95,False,,,
38,40,0,1,,47.95,47.95,47.95,False,,,
62,76,0,1,,47.95,47.95,47.95,False,,,
65,79,0,1,,47.95,47.95,47.95,False,,,
108,128,0,1,,47.95,47.95,47.95,False,,,
116,136,0,1,,47.95,47.95,47.95,False,,,
117,137,0,1,,47.95,47.95,47.95,False,,,
149,171,0,1,,47.95,47.95,47.95,False,,,
156,178,0,1,,47.95,47.95,47.95,False,,,
199,226,0,1,,47.95,47.95,47.95,False,,,
207,235,0,1,,47.95,47.95,47.95,False,,,
225,253,0,1,,47.95,47.95,47.95,False,,,
226,254,0,1,,47.95,47.95,47.95,False,,,
228,256,0,1,,47.95,47.95,47.95,False,,,
234,267,0,1,,47.95,47.95,47.95,False,,,
282,322,0,1,,47.95,47.95,47.95,False,,,
317,359,0,1,,47.95,47.95,47.95,False,,,
382,429,0,1,,47.95,47.95,47.95,False,,,
404,454,0,1,,47.95,47.95,47.95,False,,,
409,459,0,1,,47.95,47.95,47.95,False,,,
448,498,0,1,,47.95,47.95,47.95,False,,,
482,532,0,1,,47.95,47.95,47.95,False,,,
487,538,0,1,,47.95,47.95,47.95,False,,,
497,548,0,1,,47.95,47.95,47.95,False,,,
541,599,0,1,,47.95,47.95,47.95,False,,,
581,639,0,1,,47.95,47.95,47.95,False,,,
587,645,0,1,,47.95,47.95,47.95,False,,,
602,660,0,1,,47.95,47.95,47.95,False,,,
678,746,0,1,,47.95,47.95,47.95,True,0.33,0.7,0.35
682,753,0,1,,47.95,47.95,47.95,False,,,
688,759,0,1,,47.95,47.95,47.95,False,,,
694,765,0,1,,47.95,47.95,47.95,False,,,
238,271,0,1,,49.0,49.0,49.0,False,,,
381,428,0,1,,49.0,49.0,49.0,False,,,
289,331,0,1,,49.53,49.53,49.53,False,,,
269,307,0,1,,50.05,50.05,50.05,False,,,
57,71,0,1,,51.1,51.1,51.1,False,,,
97,115,0,1,,51.1,51.1,51.1,False,,,
110,130,0,1,,51.1,51.1,51.1,False,,,
471,521,0,1,,51.1,51.1,51.1,False,,,
592,650,0,1,,51.1,51.1,51.1,False,,,
597,655,0,1,,51.1,51.1,51.1,False,,,
218,246,0,1,,52.15,52.15,52.15,False,,,
416,466,0,1,,52.15,52.15,52.15,False,,,
433,483,0,1,,52.15,52.15,52.15,False,,,
470,520,0,1,,52.15,52.15,52.15,False,,,
661,726,3,1,console memory card joystick,52.15,52.15,52.15,True,0.3,0.7,0.55
90,108,0,1,,53.19,53.19,53.19,False,,,
124,146,0,1,,53.19,53.19,53.19,False,,,
188,212,0,1,,53.19,53.19,53.19,False,,,
210,238,0,1,,53.19,53.19,53.19,False,,,
256,289,0,1,,53.19,53.19,53.19,False,,,
276,316,0,1,,53.19,53.19,53.19,False,,,
431,481,0,1,,53.19,53.19,53.19,False,,,
8,8,0,1,,53.2,53.2,53.2,False,,,
30,32,0,1,,53.2,53.2,53.2,False,,,
58,72,0,1,,53.2,53.2,53.2,False,,,
59,73,0,1,,53.2,53.2,53.2,False,,,
74,88,0,1,,53.2,53.2,53.2,False,,,
79,93,0,1,,53.2,53.2,53.2,False,,,
81,95,0,1,,53.2,53.2,53.2,False,,,
84,98,0,1,,53.2,53.2,53.2,False,,,
88,105,3,1,playstation,53.2,53.2,53.2,True,0.33,0.7,0.35
89,107,0,1,,53.2,53.2,53.2,False,,,
95,113,0,1,,53.2,53.2,53.2,False,,,
112,132,0,1,,53.2,53.2,53.2,False,,,
115,135,0,1,,53.2,53.2,53.2,False,,,
136,158,0,1,,53.2,53.2,53.2,False,,,
141,163,0,1,,53.2,53.2,53.2,False,,,
158,180,0,1,,53.2,53.2,53.2,False,,,
166,190,0,1,,53.2,53.2,53.2,False,,,
180,204,0,1,,53.2,53.2,53.2,False,,,
198,225,0,1,,53.2,53.2,53.2,False,,,
205,233,0,1,,53.2,53.2,53.2,False,,,
222,250,0,1,,53.2,53.2,53.2,False,,,
223,251,0,1,,53.2,53.2,53.2,False,,,
224,252,0,1,,53.2,53.2,53.2,False,,,
229,257,0,1,,53.2,53.2,53.2,False,,,
247,280,0,1,,53.2,53.2,53.2,False,,,
249,282,0,1,,53.2,53.2,53.2,False,,,
275,315,0,1,,53.2,53.2,53.2,False,,,
277,317,0,1,,53.2,53.2,53.2,False,,,
278,318,0,1,,53.2,53.2,53.2,False,,,
297,339,0,1,,53.2,53.2,53.2,False,,,
300,342,0,1,,53.2,53.2,53.2,False,,,
