Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,Title_norm,Brand_norm,NegFlags,HasNegFlag,BlockKey,EmbedText,ProductId,ClusterSize,CanonicalName
Cronus zen scellé ps4 ps3 ps5 xbox x et x series,126.7,ZEN,0,https://www.vinted.it/items/8112704339-cronus-zen-scelle-ps4-ps3-ps5-xbox-x-et-x-series?referrer=catalog,2,8112704339,On Sale,,,https://images1.vinted.net/t/05_024ac_Kegd4YuY98wZ3RnSfHhBekB5/310x430/1770387056.webp?s=c28a1f45fab55cb353cf02a7a14d373b5eae1d61,1,4,cronus zen scelle ps4 ps3 ps5 xbox x et x series,zen,,False,zen__toks__cronus-zen,cronus zen scelle ps4 ps3 ps5 xbox x et x series | zen | 0,707,1,cronus zen scelle ps4 ps3 ps5 xbox et
Clock Tower Playstation 4 PS4 Limited Run Games LRG,47.94,No brand,0,https://www.vinted.it/items/8112703066-clock-tower-playstation-4-ps4-limited-run-games-lrg?referrer=catalog,2,8112703066,On Sale,,,https://images1.vinted.net/t/06_02321_MoBHsn3hXpVEdpAbQWGmrE2p/310x430/1770387047.webp?s=2bf0e65f4ee01beabd89299dfeb2ea0f9a38dab7,1,4,clock tower playstation 4 ps4 limited run games lrg,no brand,,False,no brand__toks__clock-tower,clock tower playstation 4 ps4 limited run games lrg | no brand | 0,145,1,clock tower playstation ps4 limited run games lrg
PlayStation 4,147.7,PlayStation,0,https://www.vinted.it/items/8112677923-playstation-4?referrer=catalog,0,8112677923,On Sale,,,https://images1.vinted.net/t/01_002df_AdXEoAALaVoLjAV1RBRA9hsP/310x430/1770386875.webp?s=f8cb3832b44c22e0ce83aeb2312845a6ced5a55e,1,4,playstation 4,playstation,,False,playstation__toks__playstation,playstation 4 | playstation | 0,506,15,playstation
Black ops 7 ps4,58.45,No brand,0,https://www.vinted.it/items/8112672192-black-ops-7-ps4?referrer=catalog,0,8112672192,On Sale,,,https://images1.vinted.net/t/06_00447_UxccdPb3i6veS8r51QCawZwc/310x430/1770386835.webp?s=4c06f8ffdbfe0764c941812e3b7c9a6ec32e210a,1,4,black ops 7 ps4,no brand,,False,no brand__toks__black-ops,black ops 7 ps4 | no brand | 0,119,1,black ops ps4
Ps4 Neu,137.2,PlayStation,0,https://www.vinted.it/items/8112553074-ps4-neu?referrer=catalog,1,8112553074,On Sale,,,https://images1.vinted.net/t/03_01e20_9nPTmoWWbEYmHojec7wKhsSA/310x430/1770386006.webp?s=19d2d6cda27cd01e60e5b552f240a8b6dcbf4870,1,4,ps4 neu,playstation,,False,playstation__toks__ps4-neu,ps4 neu | playstation | 0,543,1,ps4 neu
volante e pedaliera per playstation e PC nuovo mai usato,53.2,PlayStation,0,https://www.vinted.it/items/8112463175-volante-e-pedaliera-per-playstation-e-pc-nuovo-mai-usato?referrer=catalog,0,8112463175,On Sale,,,https://images1.vinted.net/t/04_02430_Ex3iuyjvpxL1ndCu3Q6jxhaX/310x430/1770385385.webp?s=f111a8e53830c3dd68173067318810acfd574dcc,1,4,volante e pedaliera per playstation e pc nuovo mai usato,playstation,,False,playstation__toks__volante-pedaliera,volante e pedaliera per playstation e pc nuovo mai usato | playstation | 0,572,1,volante pedaliera per playstation pc nuovo mai usato
Ps4 pro 1tb + 2 mandos + gta V,131.95,PlayStation,0,https://www.vinted.it/items/8112312934-ps4-pro-1tb-2-mandos-gta-v?referrer=catalog,1,8112312934,On Sale,,,https://images1.vinted.net/t/06_00e73_qRMVX2SJogT5T67ZTMzwEaiF/310x430/1770384333.webp?s=d87fd8ceb6bf05ed6b85d059a6682b6cd2fc1055,1,4,ps4 pro 1tb 2 mandos gta v,playstation,,False,playstation__toks__ps4-pro,ps4 pro 1tb 2 mandos gta v | playstation | 0,547,3,ps4 pro 1tb gta mandos controller originale ottime
FIFA 26 PS4,42.7,No brand,0,https://www.vinted.it/items/8112243510-fifa-26-ps4?referrer=catalog,17,8112243510,On Sale,,,https://images1.vinted.net/t/01_00238_P3jYrdMhPmk95bfnory16wGG/310x430/1770383841.webp?s=fd43d11f6665478efa435bfb3d1c2ff01afb06d2,1,4,fifa 26 ps4,no brand,,False,no brand__codes__26,fifa 26 ps4 | no brand | 0,88,10,26 fifa ps4 fc playstation jeux ps neuf
The complex ps4 precintado,84.65,No brand,0,https://www.vinted.it/items/8112225347-the-complex-ps4-precintado?referrer=catalog,7,8112225347,On Sale,,,https://images1.vinted.net/t/06_01828_yyxLepc6yEw1oNdMziUos9Q5/310x430/1770383709.webp?s=54bdbb49064669531dbccb9d07bc167e818ed698,1,4,the complex ps4 precintado,no brand,,False,no brand__toks__the-complex,the complex ps4 precintado | no brand | 0,399,1,the complex ps4 precintado
PlayStation 4 FAT 500GB Ricondizionata | Come Nuova + giochi,105.69,Sony,0,https://www.vinted.it/items/8111544306-playstation-4-fat-500gb-ricondizionata-come-nuova-giochi?referrer=catalog,3,8111544306,On Sale,,,https://images1.vinted.net/t/05_00c97_vk1tu8J5S9yeALKZFpG33Gwr/310x430/1770378616.webp?s=6cb0efa8ac4271ff4d5063fb2a17a9fff110cccb,1,4,playstation 4 fat 500gb ricondizionata come nuova giochi,sony,,False,sony__toks__playstation-fat,playstation 4 fat 500gb ricondizionata come nuova giochi | sony | 0,643,1,playstation fat 500gb ricondizionata come nuova giochi
