ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,VariantThreshold,CoreFrac,PriceWeight
204,235,0,2,,82.075,74.2,89.95,0.33,0.7,0.5
165,192,0,2,,83.65,83.65,83.65,0.33,0.7,0.5
25,25,0,2,,84.7,84.7,84.7,0.33,0.7,0.5
326,371,0,2,,84.7,84.7,84.7,0.33,0.7,0.5
450,502,0,2,,84.7,84.7,84.7,0.33,0.7,0.5
680,751,0,2,,84.7,74.2,95.2,0.33,0.7,0.5
410,462,0,2,,87.065,84.7,89.43,0.33,0.7,0.5
237,273,0,2,,87.325,84.7,89.95,0.33,0.7,0.5
272,313,0,2,playstation testati funzionanti,89.9,79.45,100.35,0.33,0.7,0.5
469,521,0,2,,93.1,93.1,93.1,0.33,0.7,0.5
176,203,0,2,,95.2,95.2,95.2,0.33,0.7,0.5
310,355,0,2,,95.2,95.2,95.2,0.33,0.7,0.5
509,563,0,2,,95.2,95.2,95.2,0.33,0.7,0.5
673,739,0,2,volant pro lenkrad,95.2,74.2,116.2,0.33,0.7,0.5
683,754,0,2,,97.3,97.3,97.3,0.33,0.7,0.5
369,419,0,2,,104.65,104.65,104.65,0.33,0.7,0.5
67,82,0,2,,105.7,105.7,105.7,0.33,0.7,0.5
121,145,1,2,chronicles,105.7,105.7,105.7,0.33,0.7,0.5
393,443,0,2,,105.7,105.7,105.7,0.33,0.7,0.5
411,463,0,2,,105.7,105.7,105.7,0.33,0.7,0.5
590,649,0,2,,105.7,105.7,105.7,0.33,0.7,0.5
519,574,0,2,,108.325,100.45,116.2,0.33,0.7,0.5
214,245,0,2,,110.94999999999999,63.7,158.2,0.33,0.7,0.5
617,676,0,2,,116.19,116.19,116.19,0.33,0.7,0.5
362,412,0,2,,126.7,126.7,126.7,0.33,0.7,0.5
462,514,0,2,,126.7,126.7,126.7,0.33,0.7,0.5
536,595,0,2,,126.7,126.7,126.7,0.33,0.7,0.5
529,588,0,2,,131.95,105.7,158.2,0.33,0.7,0.5
643,704,0,2,,131.95,116.2,147.7,0.33,0.7,0.5
66,81,0,2,,137.2,100.45,173.95,0.33,0.7,0.5
477,529,0,2,,137.2,105.7,168.7,0.33,0.7,0.5
675,743,0,2,,137.2,137.2,137.2,0.33,0.7,0.5
480,532,0,2,,152.95,147.7,158.2,0.33,0.7,0.5
